ompany Name,Ticker,観測ステータス,Country,Ecosystem,Field,PORTFOLIO_POSITION,Primary Role,url,保有者,配当日
Wells Fargo,WFC,観測中,USA,ディフェンシブ,銀行,生活に根ざした金庫,庶民の預金を循環させる「現代の掛屋」,link,ロンリード,"3,6,9,12"
Colgate-Palmolive,CL,観測中,USA,ディフェンシブ,日用品,清潔の伝道師,毎朝の儀式（歯磨き）を支える「現代の生活習慣」,link,ロンリード,"2,5,8,11"
J.M. Smucker,SJM,観測中,USA,ディフェンシブ,食品,朝食の記憶,ジャムとコーヒーで日常の「輪郭」を作る,link,ロンリード,"3,6,9,12"
AT&T,T,観測中,USA,ディフェンシブ,通信,情報の電信柱,繋がることが当たり前を支える「現代のインフラ」,link,ロンリード,"2,5,8,11"
General Electric,GE,観測中,USA,ディフェンシブ,複合,発明の末裔,エジソンから続く「形にする力」の継承者,link,ロンリード,"1,4,7,10"
Dow Chemical,DOW,観測中,USA,ディフェンシブ,化学,素材の源流,あらゆる製品の「素（もと）」を生成する力,link,ロンリード,"3,6,9,12"
Deere & Company,DE,観測中,USA,ディフェンシブ,機械,土を耕す知能,農業を「工学」に変える「現代の鍬」,link,ロンリード,"2,5,8,11"
VF Corporation,VFC,観測中,USA,ディフェンシブ,アパレル,日常を着こなす力,風景に馴染む「現代の普段着」の供給,link,ロンリード,"3,6,9,12"
Raytheon (RTX),RTX,観測中,USA,ディフェンシブ,防衛・航空,見えない盾と矛,高度な技術で領土を守る「現代の防人」,link,ロンリード,"3,6,9,12"
Pacific Gas & Electric,PCG,観測中,USA,ディフェンシブ,公共事業,地域の灯火,生活の基盤である「光」を届けるインフラ,link,ロンリード,"1,4,7,10"
Lehman Brothers,LEH,歴史的墓標,USA,ディフェンシブ,金融(破綻),過信の反省点,永遠に続く構造などないことを教える「現代の碑」,N/A,ロンリード,消滅
